id,title,price,release_date,quantity,description,key_search
580,FREE! ETERNAL SUMMER - KISEKAE ACTION! NIITENGO: MAKOTO TACHIBANA POSABLE FIGURE,"2,250,000",2020,5,action figure 09/2017 Haruka Makoto Tachibana Chara-ani Free! Makoto Haru action-figure,action figure 09/2017 Haruka Makoto Tachibana Chara-ani Free! Makoto Haru action-figure
581,FREE! ETERNAL SUMMER - KISEKAE ACTION! NIITENGO: HARUKA NANASE POSABLE FIGURE,"2,250,000",2020,5,Makoto Haruka 09/2017 action figure Free! Makoto Tachibana Haruka Nanase Haru Chara-ani action-figure,Makoto Haruka 09/2017 action figure Free! Makoto Tachibana Haruka Nanase Haru Chara-ani action-figure
582,FIGMA CORRIN (FEMALE),"2,000,000",2020,5,Fire Emblem Fates Corrin 8/2017 Figma Good Smile Company action-figure,Fire Emblem Fates Corrin 8/2017 Figma Good Smile Company action-figure
583,FIGMA TERRAFORMAR,"2,650,000",2020,5,10/2014 Figma Terraformar Max Factory action-figure,10/2014 Figma Terraformar Max Factory action-figure
584,FIGMA MIKI HOSHII,"1,530,000",2020,5,Miki Hoshii Max Factory 7/2017 Figma THE IDOLM@STER Million Live! action-figure,Miki Hoshii Max Factory 7/2017 Figma THE IDOLM@STER Million Live! action-figure
585,FIGFIX MIKAZUKI MUNECHIKA UCHIBAN VER,"1,350,000",2020,5,7/2017 Mikazuki Munechika Good Smile Company Touken Ranbu Online Figma action-figure,7/2017 Mikazuki Munechika Good Smile Company Touken Ranbu Online Figma action-figure
586,FIGMA MEIKO,"1,620,000",2020,5,5/2017 Figma Max Factory VOCALOID MEIKO action-figure,5/2017 Figma Max Factory VOCALOID MEIKO action-figure
587,FIGMA - PORTAL2: P-BODY(PRE-ORDER),"2,100,000",2020,5,11/2017 Good Smile Company P-Body figma Portal 2 action-figure,11/2017 Good Smile Company P-Body figma Portal 2 action-figure
588,VARIABLE ACTION HEROES - ONE PIECE: RORONOA ZORO PAST BLUE ACTION FIGURE(PRE-ORDER),"3,350,000",2020,5,Zoro MegaHouse Roronoa Zoro 08/2017 One Piece action-figure,Zoro MegaHouse Roronoa Zoro 08/2017 One Piece action-figure
589,FIGMA MAHO NISHIZUMI & ERIKA ITSUMI,"2,380,000",2020,5,5/2017 Figma Maho Nishizumi & Erika Itsumi Max Factory Girls und Panzer the Movie action-figure,5/2017 Figma Maho Nishizumi & Erika Itsumi Max Factory Girls und Panzer the Movie action-figure
590,FIGMA YOTSUGI ONONOGI,"1,680,000",2020,5,6/2017 Tsukimonogatari Yotsugi Ononogi Max Factory Figma action-figure,6/2017 Tsukimonogatari Yotsugi Ononogi Max Factory Figma action-figure
591,FIGMA GORO MAJIMA,"7,800,000",2020,5,Ryu ga Gotoku Goro Majima Figma 5/2017 Max Factory action-figure,Ryu ga Gotoku Goro Majima Figma 5/2017 Max Factory action-figure
592,FIGMA CHIKA TAKAMI,"1,520,000",2020,5,Max Factory Chika Takami Love Live! Sunshine!! Figma 4/2017 action-figure,Max Factory Chika Takami Love Live! Sunshine!! Figma 4/2017 action-figure
593,FIGMA PHOENIX WRIGHT,"11,800,000",2020,5,Figma Phat Company Phoenix Wright Ace Attorney 5/2017 action-figure,Figma Phat Company Phoenix Wright Ace Attorney 5/2017 action-figure
594,FIGMA IZUKU MIDORIYA,"2,180,000",2020,5,Max Factory Izuku Midoriya 5/2017 Figma Boku no Hero Academia action-figure,Max Factory Izuku Midoriya 5/2017 Figma Boku no Hero Academia action-figure
595,"SUPER SAIYAN 3: SON GOKU ""DRAGON BALL Z""","7,200,000",2020,5,Bandai 9/2017 Dragon Ball Son Goku action-figure,Bandai 9/2017 Dragon Ball Son Goku action-figure
596,FIGMA MAKOTO YUKI,"2,600,000",2020,5,Persona 3 the Movie Max Factory Figma Makoto Yuki 4/2017 action-figure,Persona 3 the Movie Max Factory Figma Makoto Yuki 4/2017 action-figure
597,FIGMA SHIELDER/MASH KYRIELIGHT,"3,000,000",2020,5,5/2017 Shielder/Mash Kyrielight Figma Max Factory Fate/Grand Order action-figure,5/2017 Shielder/Mash Kyrielight Figma Max Factory Fate/Grand Order action-figure
598,FIGMA - LOVE LIVE! SUNSHINE!!: DIA KUROSAWA,"1,620,000",2020,5,Dia Kurosawa Lovelive! Sunshine!! Dia MAX Factory 10/2017 Kurosawa action-figure,Dia Kurosawa Lovelive! Sunshine!! Dia MAX Factory 10/2017 Kurosawa action-figure
599,FIGMA SABER/ALTRIA PENDRAGON [LILY] - FATE/GRAND ORDER,"1,980,000",2020,5,Max Factory Fate/Grand Order Saber Altria Pendragon 10/2017 Action Figure action-figure,Max Factory Fate/Grand Order Saber Altria Pendragon 10/2017 Action Figure action-figure
600,ACTION FIGURE GEO STELAR - MEGA MAN STAR FORCE,"1,540,000",2020,5,Geo Stelar Sentinel 8/2017 Action Figure Mega Man action-figure,Geo Stelar Sentinel 8/2017 Action Figure Mega Man action-figure
601,FIGMA CELTY STURLUSON,"1,450,000",2020,5,4/2017 Celty Sturluson Durarara!! x2 FREEing Figma action-figure,4/2017 Celty Sturluson Durarara!! x2 FREEing Figma action-figure
602,FIGMA KASHIMA,"2,580,000",2020,5,Figma Kashima 3/2017 Max Factory Kantai Collection action-figure,Figma Kashima 3/2017 Max Factory Kantai Collection action-figure
603,FIGMA - KANTAI COLLECTION -KAN COLLE- FUBUKI,"1,700,000",2020,5,figma Fubuki KanColle MAX Factory 10/2017 Kantai Collection action-figure,figma Fubuki KanColle MAX Factory 10/2017 Kantai Collection action-figure
604,FIGMA LEAFA,"2,500,000",2020,5,Leafa Max Factory Sword Art Online I 2/2017 Figma action-figure,Leafa Max Factory Sword Art Online I 2/2017 Figma action-figure
605,FIGMA - ULTIMATE! NIPAKO-CHAN: NIPAKO,"1,820,000",2020,5,Tomytec 11/2017 Nipako Ultimate! Nipako-chan action-figure,Tomytec 11/2017 Nipako Ultimate! Nipako-chan action-figure
606,FIGMA CONAN - CONAN,"1,600,000",2020,5,Figma Conan Conan 2/2017 Max Factory Future Boy action-figure,Figma Conan Conan 2/2017 Max Factory Future Boy action-figure
607,FIGMA YOTAROH,"1,100,000",2020,5,Movie Arpeggio of Blue Steel: Ars Nova Cadenza Figma Yotaroh Max Factory 1/2017 action-figure,Movie Arpeggio of Blue Steel Ars Nova Cadenza Figma Yotaroh Max Factory 1/2017 action-figure
608,FIGMA GURLUKOVICH SOLIDER,"2,080,000",2020,5,Max Factory Gurlukovich Solider Figma Metal Gear Solid 2 Sons of Liberty 8/2016 action-figure,Max Factory Gurlukovich Solider Figma Metal Gear Solid 2 Sons of Liberty 8/2016 action-figure
609,FIGMA HARUNA,"1,780,000",2020,5,Movie Arpeggio of Blue Steel: Ars Nova Cadenza Haruna 1/2017 Figma Max Factory action-figure,Movie Arpeggio of Blue Steel Ars Nova Cadenza Haruna 1/2017 Figma Max Factory action-figure
610,FIGMA SAITAMA,"1,920,000",2020,5,Max Factory Figma One-Punch Man Saitama 1/2017 action-figure,Max Factory Figma One-Punch Man Saitama 1/2017 action-figure
611,FIGMA KANAME MADOKA,"1,200,000",2020,5,Max Factory 9/2011 Kaname Madoka Figma Mahou Shoujo Madoka Magica action-figure,Max Factory 9/2011 Kaname Madoka Figma Mahou Shoujo Madoka Magica action-figure
612,FIGMA HIKARU SHIDOU,"1,780,000",2020,5,Hikaru Shidou Max Factory Magic Knight Rayearth Figma 1/2017 action-figure,Hikaru Shidou Max Factory Magic Knight Rayearth Figma 1/2017 action-figure
613,FIGMA ELSA - FROZEN,"2,750,000",2020,5,Elsa Good Smile Company Frozen 12/2016 Figma action-figure,Elsa Good Smile Company Frozen 12/2016 Figma action-figure
