id,publisher
1338,Hobby Max Japan
1339,Kaitendo
1340,Genco
1341,Snail Shell Studio
1342,Azone International
1343,Wave
1344,Bellfine
1345,Good Smile Company
1346,APEX
1347,Bellfine
1348,Vertex
1349,Max Factory
1350,MEDIUM5
1351,Kotobukiya
1352,Kotobukiya
1353,FREEing
1354,Our Treasure
1355,Kadokawa
1356,Plum
1357,furyu
1358,Sentinel
1359,furyu
1360,furyu
1361,WING
1362,Luminous Box
1363,FREEing
1364,"FunnyKnights, Aoshima"
1365,Daiki kogyo
1366,furyu
1367,Kotobukiya
1368,Myethos
1369,Myethos
1370,Phat Company
1371,Good Smile Company
1372,MiHoYo
1373,Flare
1374,NetEase Games
1375,Stronger
1376,Stronger
1377,Bishop's Rondo
1378,AmiAmi
1379,Good Smile Company
1380,Snail Shell Studio
1381,eStream
1382,eStream
1383,eStream
1384,Hobby Max Japan
1385,Hobby Max Japan
1386,Takara Tomy
1387,Magic Mold
1388,Bellfine
1389,furyu
1390,furyu
1391,Kotobukiya
1392,FREEing
1393,FREEing
1394,Amakuni
1395,Licorne
1396,FREEing
1397,Phat Company
1398,Good Smile Arts Shanghai
1399,"Kadokawa, Chara-ani"
1400,Kadokawa
1401,"Kadokawa, Chara-ani"
1402,Bellfine
1403,FREEing
1404,furyu
1405,Kotobukiya
1406,Kotobukiya
1407,Kadokawa
1408,Kadokawa
1409,Kotobukiya
1410,Kotobukiya
1411,FREEing
1412,Myethos
1413,Alter
1414,Wonderful Works
1415,Azone International
1416,Bellfine
1417,Bellfine
1418,Skytube
1419,Dream Bistro
1420,FREEing
1421,Kotobukiya
1422,FREEing
1423,GOODSMILE RACING & TYPE-MOON RACING
1424,Max Factory
1425,Good Smile Company
1426,Orca Toys
1427,Native
1428,TOYSEIIKI
1429,FREEing
1430,Kadokawa
1431,FREEing
1432,FREEing
1433,Takara Tomy
1434,Takara Tomy
1435,"FunnyKnights, Aoshima"
1436,AmiAmi x AMAKUNI
1437,AmiAmi x AMAKUNI
1438,APEX
1439,WANDERER
1440,Alter
1441,Wave
1442,Ryu-NS
1443,Aniplex
1444,FREEing
1445,APEX
1446,Kotobukiya
1447,"BINDing , Native "
1448,Hakoiri Musume
1449,Vertex
1450,Kotobukiya
1451,FREEing
1452,BINDing
1453,Kotobukiya
1454,Kotobukiya
1455,Good Smile Company
1456,PM Office A
1457,Gecco
1458,Union Creative
1459,Alpha Satellite
1460,Alpha Satellite
1461,furyu
1462,Myethos
1463,Myethos
1464,ques Q
1465,ques Q
1466,Good Smile Company
1467,WING
1468,Alter
1469,Alter
1470,Good Smile Company
1471,AniGift
1472,Hobby Stock
1473,Shine
1474,Kadokawa
1475,Wonderful Works
1476,Phat Company
1477,FREEing
1478,Kadokawa
1479,FREEing
1480,Alter
1481, Alter
1482,Max Factory
1483,Japan
1484,Daiki Kogyo
1485,Broccoli
1486,
1487," amiami , Oh-ami"
1488,DAMTOYS
1489,Licorne
1490,Alter
1491,Wave
1492,Alter
1493,Japan
1494,Japan
1495,Japan
1496,Japan
1497,Japan
1498,Japan
1499,Japan
1500,Japan
1501,Japan
1502,Japan
1503,Japan
1504,Japan
1505,Japan
1506,Japan
1507,Japan
1508,Japan
1509,Japan
1510,Japan
1511,Japan
1512,Japan
1513,Japan
1514,Japan
1515,Japan
1516,Japan
1517,Japan
1518,Japan
1519,Japan
1520,Japan
1521,Japan
1522,Japan
1523,Japan
1524,Japan
1525,Japan
1526,Japan
1527,Japan
1528,Japan
1529,Japan
1530,Japan
1531,Japan
1532,Japan
1533,Japan
1534,Japan
1535,Japan
1536,Japan
1537,Japan
1538,Japan
1539,Japan
1540,Japan
1541,Japan
1542,Japan
1543,Japan
1544,Japan
1545,Japan
1546,Japan
1547,Japan
1548,Japan
1549,Japan
1550,Japan
1551,Japan
