id,title,price,release_date,quantity,description,key_search
639,FIGMA MIKA JOUGASAKI 346 PRODUCTION VER,2920000,2020,5,THE IDOLM@STER Cinderella Girls Mika Jougasaki Figma 7/2016 Max Factory action-figure,THE IDOLM@STER Cinderella Girls Mika Jougasaki Figma 7/2016 Max Factory action-figure
640,FIGMA RIKA JOUGASAKI CINDERELLA PROJECT VER,1700000,2020,5,Figma THE IDOLM@STER Cinderella Girls Max Factory Rika Jougasaki 7/2016 action-figure,Figma THE IDOLM@STER Cinderella Girls Max Factory Rika Jougasaki 7/2016 action-figure
641,FIGMA SNOW MIKU: SNOW OWL VER,1800000,2020,5,8/2016 Snow Miku Figma VOCALOID Max Factory action-figure,8/2016 Snow Miku Figma VOCALOID Max Factory action-figure
642,FIGMA NOZOMI TOJO,1700000,2020,5,8/2016 Nozomi Tojo Max Factory Figma Love Live! action-figure,8/2016 Nozomi Tojo Max Factory Figma Love Live! action-figure
643,FIGMA HE FLESH COLOR VER,2100000,2020,5,Figma Max Factory He flesh color ver action-figure,Figma Max Factory He flesh color ver action-figure
644,FIGMA SHE FLESH COLOR VER,2920000,2020,5,Max Factory She flesh color ver Figma action-figure,Max Factory She flesh color ver Figma action-figure
645,FIGMA UMI SONODA,1650000,2020,5,1/2016 Figma Umi Sonoda Love Live! Max Factory action-figure,1/2016 Figma Umi Sonoda Love Live! Max Factory action-figure
646,FIGMA MAKI NISHIKINO,2530000,2020,5,Max Factory Figma Love Live! 6/2016 Maki Nishikino action-figure,Max Factory Figma Love Live! 6/2016 Maki Nishikino action-figure
647,FIGMA SNOW MIKU 2015,1950000,2020,5,Max Factory 2/2015 Snow Miku 2015 Figma Vocaloid action-figure,Max Factory 2/2015 Snow Miku 2015 Figma Vocaloid action-figure
648,FIGMA ARCHER,2780000,2020,5,8/2014 Archer Max Factory Fate/Stay night Figma action-figure,8/2014 Archer Max Factory Fate/Stay night Figma action-figure
649,FIGMA TOMOYO DAIDOUJI,1500000,2020,5,Max Factory Tomoyo Daidouji Figma 6/2016 Cardcaptor Sakura action-figure,Max Factory Tomoyo Daidouji Figma 6/2016 Cardcaptor Sakura action-figure
650,FIGMA SHIROU EMIYA 2.0,3180000,2020,5,5/2016 Shirou Emiya Figma Fate/stay night Max Factory action-figure,5/2016 Shirou Emiya Figma Fate/stay night Max Factory action-figure
651,FIGMA - GRAVITY RUSH 2: GRAVITY RAVEN,1680000,2020,5,MAX Factory 10/2017 Gravity Raven Gravity Gravity Rush 2 Raven action-figure,MAX Factory 10/2017 Gravity Raven Gravity Gravity Rush 2 Raven action-figure
652,FIGMA DAVIDE DI MICHELANGELO,1580000,2020,5,5/2016 Figma Davide di Michelangelo The Table Museum FREEing action-figure,5/2016 Figma Davide di Michelangelo The Table Museum FREEing action-figure
653,FIGMA - DETECTIVE CONAN: TRUE CRIMINAL,1500000,2020,5,06/2013 Detective Conan FREEing True True Criminal Criminal Conan action-figure,06/2013 Detective Conan FREEing True True Criminal Criminal Conan action-figure
654,FIGMA - DETECTIVE CONAN: KID THE PHANTOM THIEF,3000000,2020,5,Kid Conan Kid the Phantom Thief Phantom Detective Conan Phantom Kid figma FREEing action-figure,Kid Conan Kid the Phantom Thief Phantom Detective Conan Phantom Kid figma FREEing action-figure
655,FIGFIX - LOVE LIVE! SCHOOL IDOL FESTIVAL: KOTORI MINAMI CHEERLEADER VER,1580000,2020,5,06/2017 MAX Factory Minami Figma Kotori Love Live Kotori Minami action-figure,06/2017 MAX Factory Minami Figma Kotori Love Live Kotori Minami action-figure
656,FIGFIX - LOVE LIVE! SCHOOL IDOL FESTIVAL: ELI AYASE CHEERLEADER VER,1580000,2020,5,06/2017 MAX Factory Love Live Eli Ayase Eli Figma Ayase action-figure,06/2017 MAX Factory Love Live Eli Ayase Eli Figma Ayase action-figure
657,FIGFIX MUTSU HALF-DAMAGE VER,1500000,2020,5,2/2016 Mutsu Max Factory Figma Kantai Collection action-figure,2/2016 Mutsu Max Factory Figma Kantai Collection action-figure
658,FIGMA SHERLOCK HOUND,2680000,2020,5,Sherlock Hound Sherlock Holmes Figma 5/2016 Max Factory action-figure,Sherlock Hound Sherlock Holmes Figma 5/2016 Max Factory action-figure
659,FIGMA ANGELA BALZAC,2750000,2020,5,Max Factory 5/2016 Angela Balzac Figma Rakuen Tsuihou Expelled from Paradise action-figure,Max Factory 5/2016 Angela Balzac Figma Rakuen Tsuihou Expelled from Paradise action-figure
